status,aircraft,travel_type,travel_class,route,date,seating_comfort,staff_service,food_quality,entertainment,wifi,ground_service,value_for_money,recommended,overall_rating,review,airline_name,NPS_score
Not Verified ,,Couple Leisure,Economy Class,Calgary to Toronto,2024-08-01,3.0,4.0,,3.0,,4.0,4,yes,9," Very good service all around. Baggage price very reasonable $34 for 2 hand carry’s, and one large suitcase. I would definitely recommend Air Canada. Flight was half hour leaving, but not the airlines fault.",air-canada,Promoter
Not Verified ,,Family Leisure,Economy Class,Winnipeg to Alberta,2024-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1,no,1, I’m extremely unhappy with Air Canada as I booked my flight for September 18th on June 21st. I was informed that the airline is going on strike September 17th. I cannot change my flight dates. I need to book through another airline to get where I’m needing to go and I asked for a full refund because with the strike happening the day before I know my flight is getting cancelled if they can’t come up with an agreement. I’m a single mom. I’ve been saving for this trip since January this year. And I’m being told I won’t get a refund because the flight isn’t cancelled but I also won’t know if it’s cancelled until the day before. Which in turn means that I won’t be catching this flight and I’m absolutely gutted. DO NOT FLY WITH AIR CANADA AS THEY DONT CARE FOR THEIR CUSTOMERS. I will NEVER book through Air Canada again.,air-canada,Detractor
✅ Trip Verified ,A320-300,Business,Economy Class,Newark to Calgary,2024-08-01,3.0,4.0,2.0,2.0,,2.0,1,no,1,"   Unfortunately not the first bad experience with Air Canada. They do not respect people’s time at all. On top of that they have the worst customer service. Personally I’ll not travel by a Canadian airline again. My plan was to catch a late work shift at night. But, I wouldn’t be able to make it because my flight got delayed not once but 3 times. As I said this is not the first time. It’s becoming the norm to expect delays and cancellations to the point that you can’t plan ahead. ",air-canada,Detractor
Not Verified ,,Solo Leisure,Economy Class,Halifax to Indianapolis via Toronto,2024-08-01,3.0,2.0,2.0,1.0,1.0,1.0,2,no,2," I flew from Halifax - Toronto - Indianapolis. Due to a tight connection, my golf clubs did not make it to Indianapolis. I was told my bag would be forwarded to Indianapolis the next day and I would be reached out to on next steps. I initially did not here from Air Canada for 4 days. I then headed home to Lexington, Kentucky. Once my bag was found, the intended to forward it via American Airlines to Lexington Blue Grass Airport. They promised me my bag would be there the next day. I arrived at Lexington Blue Grass airport with the flight information provided by World Tracer saying my bag was on the flight to find out it did not make it. While on the line with the baggage team, I was told it was American Airlines fault even though Air Canada never delivered the bag to them. 48 hours later, Air Canada is still working with American on exactly where my bag is. The major issue is Air Canada has essentially 0 employee presence in Indianapolis airport for these situations. Also, I didn't even try to book an Air Canada flight. I booked through United and they happened to book me on Air Canada. Indianapolis airport says this seems to be an issue with Air Canada on being unsupportive. Also, guest services at Indy airport has tried to track my bag with no avail. They have been providing more feedback that anyone at Air Canada. If anyones sees this at Air Canada, this is still an ongoing issue 6 days later.",air-canada,Detractor
✅ Trip Verified ,CRJ 300,Couple Leisure,Business Class,Atlanta to Toronto,2024-08-01,4.0,4.0,4.0,3.0,1.0,1.0,1,no,2,"   For the 2nd time in 3 weeks, my clubs didn't arrive on Air Canada returning from the US senior amateur. Now im heading to muskoka and have a tournament tomorrow and have no clubs to play with. Direct flight and we were there 2 hrs in advance. What are the chances the clubs which now get in at midnight even arrive tomorrow? I was a 75k flyer with AC and have 800000 lifetime points. I now have become frequent flyer with Delta and well use wesjet as an alternative for canadian flights",air-canada,Detractor
Not Verified ,Boeing Dreamliner,Family Leisure,Premium Economy,Vancouver to Singapore,2024-08-01,2.0,1.0,1.0,3.0,2.0,1.0,1,no,1,"  My first time in 15 years taking Air Canada and it will be another 15 years before I fly with them again. I usually fly WestJet but I wanted the direct flight from Vancouver to Singapore and I thought it has been a while since my previously awful experiences. Nothing has improved, in fact service and food has declined sharply. During a 14 hour flight in premium economy we had 1 lunch meal after take off from Singapore, rice and chicken and 12 hours later an equally sad breakfast was served. There was a reported “snack” on the flight menu that was left out on the counters in the galleys of a sandwich comprising of hummus and tomatoes. The flight crew was very disinterested in the clients and in doing their job just the absolute bear minimum. The positive, the flights I took were on time. If ever I have other options to the destinations that I travel to I will ensure that Air Canada will be the last on my list.",air-canada,Detractor
✅ Trip Verified ,,Family Leisure,Premium Economy,Stockholm to Los Angeles via Montreal ,2024-07-01,2.0,3.0,1.0,2.0,,1.0,2,no,1,"   Several aircraft and time changes before the flight. Also we were not served any meal from YUL to LAX, which was included in our ticket. When reaching out to AC’s customer service they offered us a discount code of 15% on the next flight. That is not so useful for us since we live and usually travel in Europe. When asking them for a compensation in money or a discount for their european partners instead the answer was no!",air-canada,Detractor
Not Verified ,Boeing 787-800,Family Leisure,Economy Class,Vancouver to Montreal,2024-08-01,1.0,2.0,2.0,4.0,3.0,2.0,1,no,2," My family and I took a trip from Montreal to Vancouver. For the first flight, we were delayed by 2 hours due to a mechanical problem of the plane and the crew being late, but the worst was the return flight. At first, the flight was cancelled and they decided to change that plane for safety. I selected the plane (Airbus) and now it changed to a Boeing. We also paid to choose the seats in advance while our seats were moving to the tail (from row 9 to 41). When we entered the plane after 6 hours of delay, the crew was tired and careless. Finally, we arrived and I had to pay more for parking for the delay. According to the airline rules, I must receive the compensation for the delay more than 4 hours and the seat change, but the airline's answer is no. I do not recommend this airline at all. If you must do it, I recommend paying just for the cheapest ticket and not choosing the seat or flight type.",air-canada,Detractor
Not Verified ,,Family Leisure,Economy Class,Vancouver to Edmonton,2024-08-01,1.0,4.0,,,,3.0,3,no,1,"  It is Air Canada policy to seat children with parents. When we checked in we were seated together however, when we got to the airport they seated our 8 and 13 year old children away from us. When we inquired, the lady at the counter said it would be fine to seat us separately. This very disappointing from a parents perspective when flying with the airline. Also, flight was over booked and people were left without options, in my opinion.",air-canada,Detractor
Not Verified ,,Solo Leisure,Economy Class,Toronto to Brisbane,2024-08-01,3.0,3.0,3.0,,,1.0,1,no,3,"  The worst. I cannot stress enough the worst customer service I have ever encountered. Kept delaying my flight on the August17 2024. which was understandable due to the sever weather conditions. 5 hours post departure time, cancelled the flight ""due to maintenance"". Recovery was for 2 days later. Next day flight rout changed and new itinerary showing I was flying via Houston/ Auckland by Air New Zealand. The appalling customer service begins here: Go to Houston, if you miss your connecting flt, accomodation will be provided! Left YYZ an hour late and missed my NZ flt. AC said there will be no accommodation, find your own! Had to spend the night at the airport as I had nothing, even my carry on was taken and tagged back in YYZ. Slept on airport seats . My whole itinerary changed again and the next day (today) I am flying with United. Asked for my luggage, as I knew no airline would keep luggage overnight. And I wanted to check in with UA. AC staff did not give me my bags saying United would get them tomorrow. While I am still holding bag tags with NZ flt number on, UA does not have my bags. I have been on hold over 45 minutes on the phone for their so called 24/7 Baggage Services to find out where my bags are. UA says AC have you bags in Houston, AC says UA has your luggage. This is the nightmare I am going through and there is no-one here who actually knows what they are talking about ... they ruined my 2 week vacation in Australia in every way possible or imaginable.",air-canada,Detractor
